"","pub_date","headline.1","headline.2","headline.3","headline.4","headline.5","headline.6","headline.7","headline.8","headline.9","headline.10","headline.11","headline.12","headline.13","headline.14","headline.15","headline.16","headline.17","headline.18","headline.19","headline.20","headline.21","headline.22","headline.23","headline.24","headline.25"
"1","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","-1","-1","0","0"
"2","0","0","0","0","0","-2","0","0","1","0","-1","1","0","0","0","0","0","0","0","0","0","-1","0","0","0","0"
