"","pub_date","main","score"
"1","2016-01-01","Haitian Migrants' Plight",-0.333333333333333
"2","2016-01-01","X-Rated at the Library",0
"3","2016-01-01","Fire Engulfs Luxury Dubai Hotel, Forcing Evacuation of New Year's Crowd",-0.2
"4","2016-01-01","Answering the Most Frequent Questions About the Book Review",-0.2
"5","2016-01-01","Holiday Today New Year&#8217;s Day",0
"6","2016-01-01","Coexistence on the D Train",1
"7","2016-01-01","Dance Listings for Jan. 1-7",0.333333333333333
"8","2016-01-01","Iran Denounces U.S. Sanctions Over Missiles, Saying It Will Build More",0
"9","2016-01-01","The Week on Instagram",0
"10","2016-01-01","Taking Flight",0
"11","2016-01-01","Aide Charged in Assault on I. M. Pei",-0.25
"12","2016-01-01","Paid Notice: Memorials  DEIN, GITTIE PFEFFER",0
"13","2016-01-01","After Many Accusations, Sex Assault Charge Against Bill Cosby",-0.428571428571429
"14","2016-01-01","F.B.I. Is Asked to Investigate Chicago Police Shooting That Left 2 Dead",-0.25
"15","2016-01-01","Villarreal Controls Champions Spot",0
"16","2016-01-01","Paid Notice: Deaths  REED, DOLORES",-0.2
"17","2016-01-01","Winning Before God at Clemson",0
"18","2016-01-01","Belgium Arrests 6 and Holds 2 Longer Over New Year's Eve Plot",-0.125
"19","2016-01-01","A Roller Coaster Year Ends With U.S. Markets Mostly Down",0
"20","2016-01-01","1941: Air Line Keeps Rome-Rio Link",0
"21","2016-01-01","Paid Notice: Deaths  SHORT, STEPHEN",-0.4
"22","2016-01-01","Britain to Review How Airport Shops Collect Sales Tax",-0.142857142857143
"23","2016-01-01","Paid Notice: Deaths  KELLY, ELLSWORTH",-0.2
"24","2016-01-01","Houston&#8217;s Attack Upends Florida State ",0
"25","2016-01-01","The New Exponential Festival Opens in Brooklyn",0.4
"26","2016-01-02","Authorizing War Against ISIS",0
"27","2016-01-02","Paid Notice: Deaths  RIFKIN, COMRAS, BLANCHE",-0.166666666666667
"28","2016-01-02","Comic Book Recalls Effort to Expose 'Mein Kampf'",0
"29","2016-01-02","Daech en guerre contre Noel",0
"30","2016-01-02","Canadiens' Mike Condon, Inspired by a Boston-Area Hero, Stifles Bruins",0.25
"31","2016-01-02","Wayne Rogers, Who Played Trapper John in 'M*A*S*H,' Dies at 82",0
"32","2016-01-02","Fantasy Football Week 17: Rankings and Matchups",0.2
"33","2016-01-02","Paid Notice: Deaths  PHILLIPS, ELIZABETH",-0.2
"34","2016-01-02","How Jeb Bush Hopes to Save His Candidacy",0.4
"35","2016-01-02","ISIS' War on Christmas",-0.333333333333333
"36","2016-01-02","What to Watch Saturday",0
"37","2016-01-02","Paid Notice: Deaths  HARTE, JUDITH SHEREFF",-0.166666666666667
"38","2016-01-02","Wizards Beat the Magic",0
"39","2016-01-02","Stuff We Liked: Most-Pirated Movies and Twitter Talk",0.166666666666667
"40","2016-01-02","Retiring More Comfortably in New York State",0.2
"41","2016-01-02","Qaeda Affiliate Uses Video of Donald Trump for Recruiting",0.285714285714286
"42","2016-01-02","Bernie Sanders Took In $33 Million in Last Quarter",0
"43","2016-01-02","Atlanta Begins Charging for a Streetcar Named Undesirable by Some",-0.333333333333333
"44","2016-01-02","Universities Offers Classes for Those Interested in Beer",0.4
"45","2016-01-02","India: Gunmen Attack Air Base",-0.4
"46","2016-01-02","Paid Notice: Memorials  KATZ, MICHAEL A",0
"47","2016-01-02","China's Economy Starts 2016 at Slowest Pace in Years",0
"48","2016-01-02","Pitino Discusses Scandal",0
"49","2016-01-02","Man Crushed by Elevator at Building That Had a History of Complaints",-0.166666666666667
"50","2016-01-02","India and Pakistan Try Again",-0.333333333333333
"51","2016-01-03","Jessica Freireich, Geoffrey Mattson",0
"52","2016-01-03","Paid Notice: Deaths  MALINA, RUTH",-0.2
"53","2016-01-03","Paid Notice: Deaths  YOSPIN, TOBIAS",-0.2
"54","2016-01-03","Paid Notice: Deaths  MOSKOVITZ, ADELE",-0.2
"55","2016-01-03","Meet the Man Who's Been Spoiling 'The Bachelor' for Four Years",0.142857142857143
"56","2016-01-03","Winter White",0
"57","2016-01-03","Playwright Dominique Morisseau Can't Forget the Motor City",-0.142857142857143
"58","2016-01-03","Detroit Lions at Chicago Bears Preview",0
"59","2016-01-03","Lindsey Schwoeri, Jonathan Jao",0
"60","2016-01-03","'The Diet Myth,' 'The Good Gut' and 'The Hidden Half of Nature'",0.285714285714286
"61","2016-01-03","Fantasy Football Rankings 2015",0.333333333333333
"62","2016-01-03","How Aerin Lauder, Cosmetics Scion, Spends Her Sundays",0
"63","2016-01-03","T.C.U. Erases a 31-Point Deficit to Stun Oregon in the Alamo Bowl",-0.375
"64","2016-01-03","Charles Cerulli, James Conrad",0
"65","2016-01-03","For Big Dance Theater, the After-Party Is at Intermission",0.2
"66","2016-01-03","Almost-Traditional Jewish Cooking",0
"67","2016-01-03","Baltimore Ravens at Cincinnati Bengals Preview",0
"68","2016-01-03","New Orleans Saints at Atlanta Falcons Preview",0.166666666666667
"69","2016-01-03","At Insa in Brooklyn, a Mix of Karaoke and Korean Barbecue",-0.166666666666667
"70","2016-01-03","Single, and Surrounded by a Wall of Men",0
"71","2016-01-03","Into Cloud Porn? There's a Hashtag for That",0
"72","2016-01-03","Prototype Festival Shows Off Contemporary Chamber Operas",0
"73","2016-01-03","Martha Clippinger, Marshall Price",0
"74","2016-01-03","The Strip",0
"75","2016-01-03","Paid Notice: Memorials  STEVENS, HERBERT J",0
"76","2016-01-04","Tensions After Shiite Cleric's Execution",-0.5
"77","2016-01-04","Academics And Politics",0.5
"78","2016-01-04","State Focus and Infusion of Funding Buoy Gun Control Advocates",0
"79","2016-01-04","A Year of Highs and Corrections in the Art Market",0.4
"80","2016-01-04","Healthful School Lunches Mean Healthier Students",0
"81","2016-01-04","Connecticut's Second-Chance Society",0
"82","2016-01-04","&#8216;Design Thinking&#8217; for a Better You",0.333333333333333
"83","2016-01-04","A Soccer Team, Its Foreign Owner and Local Discontent",-0.333333333333333
"84","2016-01-04","Who'd Steal Lincoln's Hand? Art Theft Baffles Illinois Museum",-0.222222222222222
"85","2016-01-04","Bill Clinton, in Donald Trump's Sights, to Join Hillary Clinton on Trail",0.111111111111111
"86","2016-01-04","Volkswagen Civil Suit",0.666666666666667
"87","2016-01-04","Skillet Chicken",0
"88","2016-01-04","Paid Notice: Deaths  MOSKOVITZ, ADELE",-0.2
"89","2016-01-04","Raine Group Finds Deals for Clients, and Itself",0
"90","2016-01-04","The Growth of Contemporary African Photography at LagosPhoto",0
"91","2016-01-04","Ted Cruz to Begin 6-Day Bus Tour to Help Him Secure Lead in Iowa",0.2
"92","2016-01-04","N.F.L. Playoffs: Here's How the Teams Match Up",0
"93","2016-01-04","Your Monday Evening Briefing: Saudi Arabia, Oregon, Real Madrid",0.125
"94","2016-01-04","Two Found Dead in Sheepshead Bay",-0.2
"95","2016-01-04","Hunt for Gunmen Continues at Air Base Near India-Pakistan Border",-0.125
"96","2016-01-04","Top Real Estate Stories of 2015",0.25
"97","2016-01-04","Islanders Rise to Challenge and Topple the Stars ",-0.4
"98","2016-01-04","What's Going On in Our Prisons?",-0.5
