"","pub_date","main","score"
"1","2013-01-01","For Giuliani, a Chance to Put New Stamp on City",-0.166666666666667
"2","2013-01-01","F.D.A. Approves Sirturo, a New Tuberculosis Drug",0.166666666666667
"3","2013-01-01","Golden Palominos, With Lianne Smith and Lori Carson",0.166666666666667
"4","2013-01-01","Glenn Fitzgerald's Theatrical Photographs",0
"5","2013-01-01",NA,NA
"6","2013-01-01","With Demand Dropping, Airlines Focus on Fees",-0.2
"7","2013-01-01","Some Companies Seek to Wean Employees From Their Smartphones",0.2
"8","2013-01-01","Chief Justice Roberts Prods Congress on Fiscal Matters",0
"9","2013-01-01","Worms Produce Another Kind of Gold for Farmers",0.333333333333333
"10","2013-01-01","2012: Best in Food and Drink",0.333333333333333
"11","2013-01-01","Photos of Mandela as Dissident, Liberator and Statesman",0.2
"12","2013-01-01",NA,NA
"13","2013-01-01","Julie Klausner's Podcast, 'How Was Your Week?'",0
"14","2013-01-01","Products for Sports Facilities Change to Keep Up",0.2
"15","2013-01-01","As Pheasants Disappear, Hunters in Iowa Follow",-0.2
"16","2013-01-01","How Many Slaves Work for You?",0
"17","2013-01-01",NA,NA
"18","2013-01-01","Hurricane Sandy and Sandy Hook Killings, Distinct but for a Name",0
"19","2013-01-01",NA,NA
"20","2013-01-01","Attacks in Iraq Leave at Least 3 Dozen Dead",-0.333333333333333
"21","2013-01-01","Rescue Effort Hampered in Fatal Oregon Bus Crash",-0.142857142857143
"22","2013-01-01",NA,NA
"23","2013-01-01",NA,NA
"24","2013-01-01","Eagles' Andy Reid Among Seven N.F.L. Coaches Fired",-0.125
"25","2013-01-01","Times Reporter in China Is Forced to Leave Over Visa Issue",-0.142857142857143
"26","2013-01-02",NA,NA
"27","2013-01-02",NA,NA
"28","2013-01-02","Late Quarterback Switch Pays Off for South Carolina",0.166666666666667
"29","2013-01-02","Bill Pullman Keeps His Passions Out Front",0
"30","2013-01-02",NA,NA
"31","2013-01-02",NA,NA
"32","2013-01-02","Syrian Forces Continued to Pound Damascus Suburbs on Tuesday",-0.142857142857143
"33","2013-01-02",NA,NA
"34","2013-01-02","My Last Day in Congress",0
"35","2013-01-02",NA,NA
"36","2013-01-02","U.S. Rallies at Hopman Cup",0.333333333333333
"37","2013-01-02",NA,NA
"38","2013-01-02",NA,NA
"39","2013-01-02",NA,NA
"40","2013-01-02",NA,NA
"41","2013-01-02",NA,NA
"42","2013-01-02",NA,NA
"43","2013-01-02",NA,NA
"44","2013-01-02",NA,NA
"45","2013-01-02",NA,NA
"46","2013-01-02",NA,NA
"47","2013-01-02",NA,NA
"48","2013-01-02","U.S. War in Afghanistan Has Echoes of Soviet Experience",0
"49","2013-01-02",NA,NA
"50","2013-01-02","Dining Calendar: A Kiosk for Barbecue; Celebrating the Galette Des Rois and More",0.125
"51","2013-01-03","How to Get a New Assault-Weapons Ban Through Congress",-0.2
"52","2013-01-03","Hydrofracking Safe, Says N.Y. Health Dept. Analysis",0.333333333333333
"53","2013-01-03",NA,NA
"54","2013-01-03",NA,NA
"55","2013-01-03",NA,NA
"56","2013-01-03","Scouting Report: After-Holiday Sales",0
"57","2013-01-03",NA,NA
"58","2013-01-03","Three Still Jailed for '95 Killing Seek a Second Reversal",-0.285714285714286
"59","2013-01-03",NA,NA
"60","2013-01-03",NA,NA
"61","2013-01-03","Immigration Change Will Ease Family Separations",0.333333333333333
"62","2013-01-03",NA,NA
"63","2013-01-03",NA,NA
"64","2013-01-03","Luxury Desktop Accessories",0.333333333333333
"65","2013-01-03",NA,NA
"66","2013-01-03","Mubarak Dictated Response to Protests in Cairo, Report Says",-0.142857142857143
"67","2013-01-03","Syracuse Win Puts Boeheim at No. 2 on Victories List",0.166666666666667
"68","2013-01-03","Gov. Tom Corbett of Pennsylvania Sues N.C.A.A. Over Penn State Penalties",0.111111111111111
"69","2013-01-03",NA,NA
"70","2013-01-03",NA,NA
